House	Courage	Kindness	Lucidity	Intelligence	Creativity	Loyalty	Cold blood	Sincerity	Ambition	Wisdom
Gryffindor	2.167813458456476	6.638947886727463	5.696643641966869	3.942613137618751	8.389549735549746	7.168601930599033	4.776081783340312	6.915311187827367	5.399908348520207	8.44624306736039
Gryffindor	2.442615124958705	5.620568801757429	5.573978680299345	3.7163350663640657	4.569514767063102	4.310196313225427	6.479866819782558	7.467584427110941	1.9313528048060904	3.9662853877289193
Gryffindor	3.049030015248346	7.251509784421345	6.983559171479179	4.886011432498597	4.465728944027866	4.237320376086922	2.5494103318415755	6.555943078438926	6.1157507814276215	5.806519685515305
Gryffindor	3.5631317185737488	5.1945343618137185	5.166625879384855	2.376615185909734	7.736095164033027	8.917904005152481	2.594157301319331	5.717260229974464	6.127504297338209	3.2709141498200656
Gryffindor	3.4120419108869995	5.751972053583771	6.758993275899251	4.743568871351441	5.767240043699527	4.235162604816586	5.361381572156655	7.022439636825865	4.394511110569933	5.374553494171956
Gryffindor	4.362677668684909	5.123752007658928	6.090398604822807	2.9532734605647963	7.359706336059547	6.24434298529027	6.069706958103438	5.958152996151468	1.5465826284992426	4.439353619511409
Gryffindor	4.7251872797608865	2.3909528997347467	5.673670810512097	4.527011139465975	3.7940487792715483	4.908088333328129	1.5854750726267028	3.9693537175725164	0.0	6.039970655466661
Gryffindor	2.8458851263366474	5.26642854864405	5.882629208341558	3.5344186485975144	4.886937674578106	4.175879661532616	4.806720977873657	4.339596510021035	4.258527302028071	5.2251662904186915
Gryffindor	2.976611185355553	8.059008258483932	6.527773577567844	2.207595459113452	4.658103271499485	7.021293735808577	3.880411838254767	5.092386782580338	3.685590034752697	3.0867466025993178
Gryffindor	4.469231850670293	4.300060221753497	7.686549783461627	4.203210277617901	2.533936944881539	8.80111645225835	5.692292172365181	5.424248059757458	3.9893735894045266	4.510778223391729
Gryffindor	2.587212402412403	3.4234873669534496	5.627997095930666	3.7949528403037944	5.817331596158226	6.191032778781524	3.681035389863754	8.687745223828125	3.9344356385478663	4.3637156549364144
Gryffindor	1.9354651056514218	4.499191620554296	2.07808312494883	3.4689780122323817	7.644582902092076	3.5160446742351628	3.763870459565601	3.442681236469858	5.499922587005777	4.669269521264297
Gryffindor	4.176715136638788	6.527409339935003	4.870177794764772	3.2487066894697723	5.74625350186592	3.32064231334948	4.5255675063537275	6.82416161117441	2.7679152756089334	6.151125271404911
Gryffindor	4.05723030398393	4.622672880869314	7.7386191887477995	3.167380240745408	4.35276316439369	6.352469137032203	4.355032702918683	5.994321486196642	4.201315607113765	8.058334860513988
Gryffindor	2.4325117135593293	4.269262329370574	2.6944551506033627	4.341760365369501	7.412908326999677	3.750543519706514	3.9251646640913074	2.175645251939877	4.107498668683332	4.095765090559286
Gryffindor	2.9070567128913565	6.418212676721327	6.001791125659589	2.6204967347127472	5.739293854024442	10.0	5.468566713945856	5.739253069098627	6.32213248758841	4.663635038904793
Gryffindor	3.766724570924973	6.803573548713397	4.8501674102185275	4.039951393438698	6.329288444341153	7.30851968854866	3.437688491153503	4.445112085571986	4.3261857007488835	5.194082093025887
Gryffindor	3.9054297021545707	7.799733439896928	9.442721155669226	2.735141365898918	5.9869468649147475	4.122225872188446	1.755920860619352	3.8746782278408585	4.687695581894525	7.147159752997279
Gryffindor	4.457928040265827	4.450544554575957	2.45648020157923	5.351395491220112	4.562765500467886	3.3662490910193488	7.333293319274143	4.446957068865935	5.316602530473007	4.586780893711885
Gryffindor	2.2771629583748894	3.376986974291216	6.4637582309772466	3.454978215644619	7.03677481105124	6.888927459059223	3.1686126087711775	5.317227002491415	3.8862788376957114	7.80046806211166
Gryffindor	3.5433747390894883	3.1049058738448636	5.707576990940739	3.392094391999467	4.0788971844944015	7.360770559751315	5.3334417569002195	5.479499586322611	3.6607149280878697	4.218836422993723
Gryffindor	3.724017349465034	3.7222451642774623	5.6868333229516494	3.0363030890425264	6.8188587063410635	5.121765286099807	4.64035560035752	9.305495002351327	5.406427349913026	6.875363100150539
Gryffindor	5.221802692182096	6.592864782502403	5.238320407969175	3.880366214238428	7.098670673461117	6.403855026276516	1.774542035159751	6.642699142199299	8.17123566574657	7.328678050987892
