House	Courage	Kindness	Lucidity	Intelligence	Creativity	Loyalty	Cold blood	Sincerity	Ambition	Wisdom
Slytherin	3.0630650989095	5.356880462951555	3.2412874098610276	5.314776823392233	5.181793728109457	6.9633141009211705	5.81217661996308	5.646373651234939	5.18154585598381	3.3479042536835246
Slytherin	2.561320696645531	2.179817281603639	3.44596233034504	4.306517764981664	7.170886887710948	7.389128252514958	5.416985546333638	2.909761911194586	2.5845443871525333	2.3254382709774335
Slytherin	5.151806588916512	6.157231947928732	4.161211876546414	4.889657421216375	4.801141907361376	3.7896430879451675	1.4572654131113614	4.1547073837124096	4.334152411293273	5.379063178395647
Slytherin	3.3585570588667912	4.7794724637029455	4.79422037050776	4.059339121423554	8.93408201641847	3.138446673271449	6.202339413027702	5.987484906831958	4.347723670737404	2.2694842172203664
Slytherin	4.40599048193303	5.853218009675817	4.937819946208354	2.7527774912445686	5.365405769219986	4.210695629179918	4.743765817061359	5.982678277782551	5.796204566057842	5.397878232087052
Slytherin	6.266079934015826	6.151884842520515	3.794328275528449	5.885808999675585	7.0521616462875505	5.034282808286057	5.268361389822368	6.165019104917024	6.127621271794672	5.615036276715628
Slytherin	4.752143388532286	4.403965388194484	2.6704516345866214	1.4689049401846268	2.5746797315795984	4.910079777383142	5.189704332056587	4.1587386068076215	10.0	2.78656242039365
Slytherin	4.207452821768143	8.790811461154256	2.836394699528712	6.637319880763604	4.54546462697118	1.3519001591567925	8.508461681682503	3.1731702590463655	1.197132329267069	6.130864818918186
Slytherin	4.728895976632591	5.896470910191015	4.441210831019923	3.3509398128341377	0.8199500675404302	4.595400067974683	8.003168551153447	3.9838147934436643	5.318014827283026	4.27905104884798
Slytherin	3.0644003126409047	4.702143888895433	3.596977353661996	4.197460272909235	2.663075425340167	6.856694758564668	5.463644829541458	2.9682935254133476	2.5503811571521684	4.209539890583857
Slytherin	3.715577702391892	8.086910012860567	3.4947387533445613	7.304203882888358	4.89552539661166	3.3711600682030225	2.7217415988019535	4.8398128406092455	5.372919845484573	3.0201608191296376
Slytherin	3.2121860933895876	9.076686873025505	4.711000769218861	3.368647482368463	6.50521846859768	5.6154921410448555	9.371603651079898	7.386321410952826	5.934125143715043	5.744770872715971
Slytherin	4.278173910073272	5.741355384225192	3.238807286406074	6.322987984552205	0.33073679102119496	10.0	4.519382309275601	3.6739864975447456	5.976503175938714	2.420746624027384
Slytherin	3.4339227487094495	1.5376086486140859	4.253620855683479	2.452508692418657	3.3460117681498276	6.28128111685546	4.7896466021686575	5.741050604057395	4.606530667004694	6.449146326101047
Slytherin	2.966010449355496	3.9870725781998706	3.397735506068987	5.644245454198881	3.3274481947542482	2.371364804845903	8.117583560401687	4.397777976796169	4.223805517543619	5.5604084888229615
Slytherin	3.762618584688215	6.786690508467315	3.563930952966243	7.428557481939895	4.058511443201311	3.997898195000576	4.976012442110567	3.9153435499830067	6.823776064928271	5.274355521696446
Slytherin	4.296987267046489	7.316129703100229	3.726396006240905	3.0782622425980377	1.2889894486435127	2.489573054197608	6.39368309080388	1.154650458040581	5.446611457654643	2.55478795195038
Slytherin	3.200220005878827	2.395333644515289	3.188205433681384	5.064813976571939	6.551044701413609	4.333407232784472	5.474260613609243	5.436641894668222	6.097469594883618	7.023549817691126
Slytherin	4.7124816171219175	0.0	2.2414993870191577	5.514325136028095	1.8418450752402142	5.662750000974627	5.84099578266935	5.094580154398869	4.2082041801848025	4.322617363827686
Slytherin	3.7732809552258963	4.297769046188019	3.244743169584735	4.105385682447594	4.225130845082577	1.3545386164226736	4.926816450757727	5.643847051605154	6.838816028908394	6.842950698611425
Slytherin	3.397235285115373	3.7474260113463043	2.107699470411001	4.311433901451624	5.254589594143381	6.2053216849847805	6.5015154624746705	6.146900326249193	6.302936208469326	1.4098774470220055
Slytherin	4.281452109455292	6.136623028063209	4.055922989707623	6.608584324829501	6.209967406813746	2.4898474723489388	9.051038679812839	7.303518595559333	3.5268840339363194	4.881783858342795
Slytherin	4.167490736058351	3.5182797452347794	3.580420751921397	6.467937164141569	4.8772072015170655	5.912542979443725	5.443794916732124	4.220700257290668	9.457264329542891	3.241946856079096
