,qual1,qual2,CDE_first_top1,CDE_first_top2,CDM_first_top1,CDM_first_top2,PU_first_h,PU_first_top1,PU_first_top2,PG_first_h,PG_first_top1,PG_first_top2,KM_first_h,KM_first_top1,KM_first_top2,KU_first_h,KU_first_top1,KU_first_top2,CDE_true_top1,CDE_true_top2,CDM_true_top1,CDM_true_top2,PU_true_h,PU_true_top1,PU_true_top2,PG_true_h,PG_true_top1,PG_true_top2,KM_true_h,KM_true_top1,KM_true_top2,KU_true_h,KU_true_top1,KU_true_top2,student_house
1,Courage,Ambition,0.585,0.9688,0.5525,0.9675,2.6,0.59,0.9688,1.9,0.57,0.9725,4,0.5112,0.8962,2,0.2375,0.2375,0.9325,0.9925,0.93,0.9938,2.9,0.935,0.995,1.6,0.9337,0.9925,10,0.935,0.99,2,0.87,0.87,Hufflepuff
2,Courage,Intelligence,0.515,0.965,0.54,0.9738,1.8,0.5475,0.965,1.9,0.5188,0.9688,7,0.5262,0.965,2,0.2263,0.2263,0.9525,0.9888,0.9525,0.9912,4.3,0.9475,0.9912,5.7,0.9513,0.99,9,0.945,0.9838,2,0.88,0.88,Gryffindor
3,Courage,Loyalty,0.5475,0.93,0.5763,0.9563,2.2,0.5763,0.9487,1.3,0.5675,0.9475,10,0.5613,0.9487,2,0.2888,0.2888,0.92,0.9925,0.92,0.9938,2.7,0.9163,0.9938,0.5,0.9225,0.9938,9,0.9075,0.9912,2,0.8113,0.8113,Ravenclaw
4,Courage,Wisdom,0.49,0.9387,0.5587,0.96,4.2,0.5413,0.9575,2.3,0.5375,0.9513,9,0.5537,0.9487,2,0.2712,0.2712,0.9287,0.9938,0.9237,0.9938,2.7,0.93,0.995,0.8,0.9325,0.995,5,0.9125,0.9838,2,0.8237,0.8237,Hufflepuff
5,Courage,Wisdom,0.57,0.93,0.585,0.94,1.4,0.5425,0.9237,1.0,0.5775,0.94,9,0.5212,0.93,2,0.2525,0.2525,0.8975,0.99,0.9,0.9912,1.8,0.9025,0.99,1.6,0.9075,0.99,5,0.8975,0.9788,2,0.7913,0.7913,Slytherin
6,Courage,Intelligence,0.405,0.9563,0.4637,0.9775,2.9,0.4213,0.975,0.6,0.44,0.9762,7,0.4688,0.9225,2,0.2275,0.2275,0.9137,0.9912,0.9075,0.99,2.6,0.9113,0.9888,0.2,0.9025,0.9812,3,0.8838,0.95,2,0.8037,0.8037,Hufflepuff
7,Courage,Sincerity,0.5025,0.9663,0.54,0.97,3.4,0.505,0.9663,1.8,0.5075,0.9663,10,0.5112,0.96,2,0.2387,0.2387,0.9325,0.9962,0.93,0.995,2.0,0.93,0.995,1.9,0.9313,0.9962,6,0.9275,0.9825,2,0.8538,0.8538,Hufflepuff
8,Courage,Cold blood,0.485,0.93,0.5387,0.9425,3.1,0.5312,0.945,2.6,0.4938,0.94,9,0.5687,0.9513,2,0.2938,0.2938,0.925,0.9938,0.9225,0.995,3.5,0.9237,0.9938,1.5,0.9237,0.9938,9,0.9225,0.99,2,0.8638,0.8638,Slytherin
9,Courage,Wisdom,0.495,0.8838,0.5188,0.9163,3.1,0.51,0.9,1.2,0.51,0.9025,9,0.4838,0.8888,2,0.2787,0.2787,0.8625,0.9812,0.8588,0.9812,3.3,0.8638,0.9788,0.9,0.8612,0.98,7,0.8562,0.9525,2,0.7612,0.7612,Gryffindor
10,Kindness,Intelligence,0.5275,0.8525,0.56,0.9287,3.3,0.5437,0.9,1.2,0.5413,0.895,9,0.5563,0.8888,2,0.315,0.315,0.9075,0.9975,0.9087,0.995,4.1,0.9113,0.9962,6.7,0.91,0.9975,5,0.9087,0.9838,2,0.7963,0.7963,Ravenclaw
